Key,ko,en,ja
UINormal,보통,Normal,Normal
UIYes,네,Yes,Yes
UINo,아니오,No,No
Close,닫기,Close,閉じる
Check,확인,Confirm,確認
Cancel,취소,Cancel,キャンセル
UIChangeLanguage,정말 언어를 변경하시겠습니까?,Are you sure you want to change the language?,Are you sure you want to change the language?
NoMaterial,재료가 부족합니다.,Not enough materials.,材料が不足しています。
UIDataLoading,데이터를 로딩중입니다.,Loading data.,データを読み込んでいます。
UIDataLoadingSuccess,데이터가 정상적으로 로딩되었습니다.,The data has been loaded successfully.,データが正常にロードされました。
UIClickScreen,화면을 눌러서 시작하세요.,Press the screen to start.,画面をタップして始めます。
UIGoogleLogin,구글 로그인,Google Login,Google ログイン
UIMailBox,우편함,Mail Box,メールボックス
UI_Goods,재화,Goods,商品
UIBag,가방,Bag,バッグ
UIStat,스탯,Stat,ステータス
UIHero,영웅,Hero,英雄
UIRelic,유물,Relic,遺物
UIDungeon,던전,Dungeon,ダンジョン
UISmelting,각인,Smelting,刻印
UIShop,상점,Shop,ショップ
UIAchievements,업적,Achievements,業績
UILeaderBoard,랭킹,Ranking,ランキング
UIQuest,퀘스트,Quest,クエスト
UISetting,설정,Setting,設定
UIBGM,배경음,Background Music,背景音
UIEffectSound,효과음,Sound Effects,効果音
UILanguage,언어,Language,言語
UIPrivacyPolicy,개인정보처리방침,Privacy Policy,個人情報処理方針
UISavingMode,절전 모드,Saving Mode,省電力モード
UISavingMode_SwipScreen,화면을 밀어서 절전모드 해제하기,Swipe the screen to wake from sleep mode,画面をスライドさせてスリープモードを解除する
UISavingMode_GetItem,획득 아이템,Acquired items,獲得アイテム
UISavingMode_Repeat,반복중,Repeating,繰り返し中
Damage,공격력,Damage,Damage
HP,HP,HP,HP
Money,골드 획득량,Gold earned,Gold earned
Item,아이템 드랍률,Item Drop Rate,アイテムドロップ率
Exp,경험치 획득량,Experience gained,Experience gained
AttackSpeed,공격속도,Attack Speed,攻撃速度
CriticalP,크리티컬 확률,Critical Chance,クリティカル確率
CriticalD,크리티컬 데미지,Critical Damage,クリティカルダメージ
UICombatPower,전투력,Combat Power,戦闘力
UIHP,체력,Health,体力
UIGoldDropRate,골드 드랍률,Gold Drop Rate,ゴールドドロップ率
UIItemDropRate,아이템 드랍률,Item Drop Rate,アイテムドロップ率
UIExpUpRate,경험치 증가율,Experience Growth Rate,経験値増加率
UIAttackSpeed,공격 속도,Attack Speed,攻撃速度
UICriticalChance,치명타 확률,Critical Hit Chance,クリティカル確率
UICriticalDamage,치명타 데미지,Critical Damage,クリティカルダメージ
UIUniqueStats,고유 능력치,Unique Stats,固有能力値
UIAdditionalStats,부가 능력치,Additional Stats,付加能力値
Gold,골드,Gold,ゴールド
Dia,다이아,Diamond,ダイア
Crystal,크리스탈,Crystal,クリスタル
Feather,깃털,Feather,羽
Leather,가죽,Leather,革
Monster_Energy,몬스터에너지,Monster Energy,モンスターエネルギー
Piece_Of_Scroll,스크롤,Scroll,スクロール
Piece_Of_Stone,돌,Stone,石
Gold_Dice,황금주사위,Golden Dice,黄金のサイコロ
Axe,도끼,Axe,斧
GoddessTears,여신의 눈물,Goddess' Tears,女神の涙
BronzeRing,동반지,Bronze Ring,ブロンズリング
SilverRing,은반지,Silver Ring,シルバーリング
GoldenRing,금반지,Golden Ring,ゴールドリング
UIItem_Gold_Description,게임 내 사용되는 골드이다,It is gold used in the game.,ゲーム内で使用されるゴールドです
UIItem_Dia_Description,상점아이템을 구매하는 다이아이다.,It is a diamond used to purchase shop items.,店舗アイテムを購入するダイヤだ。
UIItem_Crystal_Description,크리스탈이다.,It is crystal.,クリスタルだ。
UIItem_Feathers_Description,깃털이다.,It is a feather.,羽だ。
UIItem_Leather_Description,가죽이다.,It is leather.,革です。
UIItem_MonsterEnergy_Description,몬스터에너지이다.,It is Monster Energy.,モンスターエネルギーだ。
UIItem_Scroll_Description,스크롤이다.,It is a scroll.,スクロールだ。
UIItem_Rock_Description,돌이다.,It is a stone.,石だ。
UIItem_GoldenDice_Description,황금 주사위이다.,It is a golden die.,黄金のサイコロです。
UIItem_Axe_Description,도끼다.,It's an axe.,斧だ。
UIItem_TearsOfTheGoddess_Description,여신의 눈물이다.,It is the tears of the goddess.,女神の涙だ。
UIItem_BronzeRing_Description,동반지이다.,It is a bronze ring.,ブロンズリングだ。
UIItem_SilverRing_Description,은반지이다.,It is a silver ring.,銀の指輪だ。
UIItem_GoldRing_Description,금반지이다.,It is a gold ring.,金の指輪だ。
UIItem_Gold_Effect,골드를 모아 레벨업을 해보세요!,Collect gold and level up!,ゴールドを集めてレベルアップをしてみてください！
UIItem_Dia_Effect,다이아로 영웅과 유물을 뽑아보세요!,Try drawing heroes and artifacts with diamonds!,ダイヤで英雄と遺物を抜いてみてください！
UIItem_Crystal_Effect,반짝반짝 빛나는 크리스탈입니다.,It is a sparkling crystal.,キラキラ輝くクリスタルです。
UIItem_Feathers_Effect,깃털입니다.,It is a feather.,羽です。
UIItem_Leather_Effect,가죽입니다.,It is leather.,革です。
UIItem_MonsterEnergy_Effect,각인에 사용됩니다.,It is used for engraving.,刻印に使用されます。
UIItem_Scroll_Effect,스크롤 입니다.,This is a scroll.,スクロールです。
UIItem_Rock_Effect,그냥 돌맹이입니다.,It's just a stone.,ただの石ころです。
UIItem_GoldenDice_Effect,{0} 확률로 주사위를 돌려 추가 골드 획득,Roll the dice with a {0} chance to gain extra gold.,{0}確率でサイコロを回して追加ゴールドを獲得
UIItem_Axe_Effect,근접 공격시 주변적 {0}% 스플래시 데미지,Deals {0}% splash damage to nearby enemies on melee attack,近接攻撃時の周囲{0}%スプラッシュダメージ
UIItem_TearsOfTheGoddess_Effect,피격시 {0}% 확률로 마나 {1} 회복,"When hit, have a {0}% chance to restore {1} mana",被撃時{0}%の確率でマナ{1}回復
UIItem_BronzeRing_Effect,효과가 없지만 강화를 하다보면 생길지도?,"It doesn't have any effect yet, but maybe it will appear if you keep upgrading?",効果がないけど強化をしてみるとできるかも？
UIItem_SilverRing_Effect,획득 골드 {0}% 추가,Add {0}% to earned gold,獲得ゴールド{0}％を追加
UIItem_GoldRing_Effect,획득 경험치 {0}% 추가,Add {0}% to acquired experience points,獲得経験値{0}％を追加
Cleric,클레릭,Cleric,クレリック
Cleric_Description,"클레릭은 신성한 신념을 바탕으로 전장의 최전선에서 동료들을 수호하는 자입니다. 단순히 상처를 고치는 것을 넘어, 아군의 사기를 높이고 절망적인 상황에서 기적을 불러일으키는 '살아있는 성소'와 같은 역할을 수행합니다.","A Cleric is one who protects comrades on the front lines of the battlefield based on sacred faith. Beyond simply healing wounds, they play the role of a 'living sanctuary,' boosting the morale of allies and bringing about miracles in desperate situations.",クレリックは神聖な信念に基づいて戦場の最前線で仲間を守る者です。単に傷を直すことを超えて、味方の士気を高め、絶望的な状況で奇跡を引き起こす「生きている聖所」のような役割を果たします。
Archer,궁수,Archer,射手
Archer_Description,"궁수는 정면 대결보다는 적의 약점을 파고드는 데 능숙합니다. 그가 쏘는 화살촉에는 연금술로 정제된 강력한 맹독이 발려 있어, 적의 갑옷을 부식시키고 신체 기능을 마비시킵니다. 적이 고통에 몸부림칠 때, 그는 이미 다음 사냥감을 향해 시위를 당기고 있습니다.","The archer is skilled at exploiting the enemy's weaknesses rather than engaging in a head-on confrontation. The arrowheads he shoots are coated with a powerful, deadly poison refined through alchemy, which corrodes the enemy's armor and paralyzes their bodily functions. While the enemy writhes in pain, he is already drawing his bowstring toward his next prey.",射手は、正面対決よりも敵の弱点を掘り下げるのに堪能です。彼が撃つ矢じりには錬金術で精製された強力な猛毒が塗られており、敵の鎧を腐食させ、身体機能を麻痺させます。敵が痛みに苦しむとき、彼はすでに次の獲物に向かって弓を引いています。
Assassin,암살자,Assassin,暗殺者
Assassin_Description,"암살자는 소리 없이 다가와 단 한 번의 칼날질로 모든 상황을 종료시키는 전장의 집행자입니다. 화려한 동작보다는 효율적이고 정밀한 타격을 선호하며, 적이 가장 방심한 순간 가장 취약한 곳을 뚫고 들어갑니다. 그에게 찍힌 표적은 결코 살아서 전장을 벗어날 수 없습니다.","The Assassin is the executioner of the battlefield who approaches silently and ends every situation with a single blade strike. Preferring efficient and precise strikes over flashy moves, he penetrates the enemy's weakest points at the moment of their greatest complacency. A target marked by him never leaves the battlefield alive.",暗殺者は音なしで近づき、たった一回の刃ですべての状況を終了させる戦場の執行者です。派手な動作よりも効率的で正確な打撃を好み、敵が最も油断した瞬間、最も脆弱な場所を突き抜けて入ります。彼に狙われた標的は決して生きて戦場を抜け出せない。
Hammer,망치,Hammer,ハンマー
Hammer_Description,"망치기사는 전장의 중심에서 거대한 망치를 휘둘러 적의 진형을 붕괴시키는 파괴의 선봉장입니다. 육중한 갑옷을 입고 묵직한 무기를 다루지만, 일단 회전력을 얻기 시작하면 그 누구도 멈출 수 없는 강철의 폭풍이 됩니다.","The Hammer Knight is the vanguard of destruction who wields a massive hammer at the center of the battlefield to shatter enemy formations. Although clad in heavy armor and wielding a weighty weapon, once he gains momentum, he becomes a storm of steel that no one can stop.",ハンマー騎士は、戦場の中心で巨大なハンマーを振り回して敵の陣形を崩壊させる破壊の先鋒です。重い鎧を着て、どっしりとした武器を扱いますが、一度回転力を得始めると、誰も止められない鋼の嵐になります。
Knight,기사,Knight,騎士
Knight_Description,"기사는 전장의 선두에서 아군을 이끄는 정의의 상징입니다. 단순히 칼을 휘두르는 것에 그치지 않고, 자신의 투지와 신념을 '빛의 형상'으로 실체화하여 멀리 떨어진 적들까지 단죄합니다. 그의 검광이 번쩍일 때마다 적들은 두려움에 떨고, 동료들은 용기를 얻습니다.","The Knight is a symbol of justice leading his allies at the forefront of the battlefield. He does not merely wield his sword; he materializes his fighting spirit and conviction into a 'form of light' to punish even distant enemies. Whenever the light of his sword flashes, enemies tremble in fear, and comrades gain courage.",騎士は戦場の先頭から味方を導く正義の象徴です。単に剣を振り回すことにとどまらず、自分の闘志と信念を「光の形状」に実体化し、遠く離れた敵まで断罪します。彼の剣光が点滅するたびに、敵は恐怖に震え、仲間は勇気を得ます。
Spearman,스피어맨,Spearman,スピアマン
Spearman_Description,"스피어맨은 전장의 거리감을 지배하는 달인입니다. 검보다 길고 망치보다 날카로운 창을 자유자재로 휘둘러, 적이 접근하기도 전에 가로막거나 한꺼번에 쓸어버립니다. 그의 공격은 마치 몰아치는 태풍과 같아, 전방의 수많은 적을 단 한 번의 휘두름으로 저지하는 압도적인 위용을 보여줍니다.","The Spearman is a master of dominating the sense of distance on the battlefield. Wielding a spear longer than a sword and sharper than a hammer with ease, he intercepts enemies before they can approach or sweeps them away in a single strike. His attacks resemble a raging typhoon, displaying an overwhelming aura that halts countless foes in front of him with a single swing.",スピアマンは戦場の距離感を支配する達人です。剣より長く、ハンマーよりも鋭い槍を自由自在に振り回し、敵が接近する前に遮るか、一度に掃きます。彼の攻撃は、まるで吹き荒れる台風のようなもので、前方の数多くの敵を一回の振り回しで阻止する圧倒的な威容を示しています。
TwoHandSword,두손검사,Two-Handed Sword,両手剣士
TwoHandSword_Description,"두손검사는 자신의 몸집만 한 거대한 검을 가볍게 휘두르는 완력의 소유자입니다. 속도는 느릴지언정, 그가 휘두르는 거검의 궤적은 피할 수 없는 절망을 선사합니다.","The Two-Handed Swordsman is a possessor of physical strength who effortlessly wields a massive sword as big as himself. Though his speed may be slow, the trajectory of the great sword he swings delivers inescapable despair.",両手剣士は、自分の体ほどの巨大な剣を軽く振り回す腕力の持ち主です。速度は遅くとも、彼が振り回す巨剣の軌跡は避けられない絶望を与えます。
Wizard,마법사,Wizard,ウィザード
Wizard_Description,"마법사는 세상의 근원인 마나를 다스려 자연의 재해를 인위적으로 불러일으키는 자입니다. 수십 년의 연구 끝에 금지된 고위 마법인 '운석 소환'을 자유자재로 구사하게 된 그는, 적들이 전열을 가다듬기도 전에 하늘로부터 파멸을 선사합니다. 그의 지팡이가 땅을 두드리면, 전장은 곧 거대한 소멸의 장이 됩니다.","The Wizard is one who controls Mana, the source of the world, to artificially conjure natural disasters. Having mastered the forbidden high-level magic of 'Meteor Summoning' after decades of research, he delivers destruction from the heavens before his enemies can even regroup. When his staff strikes the ground, the battlefield instantly becomes a massive arena of annihilation.",魔法使いは世界の源であるマナを治め、自然の災害を人為的に呼び起こす者です。数十年の研究の末に禁止された上級魔法の「隕石召喚」を自由自在に駆使することになった彼は、敵が態勢を整える前に空から破滅をもたらします。彼の杖が地面を叩くと、戦場はすぐに巨大な消滅の場になります。
Enchantress,인챈트리스,Enchantress,エンチャントレス
Enchantress_Description,"신비로운 별의 마력을 다루는 그녀는 전장의 조율사입니다. 그녀의 마법은 누구에게 닿을지 예측할 수 없지만, 일단 그 빛을 받은 동료는 초인적인 힘과 철벽같은 방어력을 얻게 됩니다. 불확실성조차 승리의 변수로 만드는 그녀의 존재는 동료들에게는 가장 든든한 행운의 상징입니다.","Wielding the mysterious magic of the stars, she is the orchestrator of the battlefield. While it is impossible to predict who her magic will touch, any comrade who receives its light gains superhuman strength and impenetrable defense. Her presence, which turns even uncertainty into a variable for victory, is the most reliable symbol of good fortune for her comrades.",神秘的な星の魔力を扱う彼女は戦場の調律師です。彼女の魔法は誰に届くのか予測できませんが、一度光を受けた仲間は超人的な力と鉄壁のような防御力を得ることになります。不確実性でさえ勝利の変数にする彼女の存在は、仲間にとって最も頼もしい幸運の象徴です。
Monster,몬스터,Monster,モンスター
Monster_Description,몬스터이다,It is a monster.,モンスターだ。
BossMonster,보스몬스터,Boss Monster,ボスモンスター
BossMonster_Description,보스몬스터이다,It is a boss monster.,ボスモンスターだ。
Goldstatue,골드석상,Gold Statue,ゴールド石像
Goldstatue_Description,골드석상이다,It is a gold statue.,ゴールド石像です。
Cleric_Skill,은총의 손길,Hand of Grace,恵みの手
Cleric_Skill_Description,가장 낮은 체력을 가진 아군 한 명에게 신성한 빛의 온기를 전달합니다. 대상의 상처를 즉시 봉합하고 일정량의 생명력을 회복시킵니다.,Delivers the warmth of holy light to the ally with the lowest health. Instantly sutures the target's wounds and restores a certain amount of health.,最も低い体力を持つ味方一人に神聖な光のぬくもりを伝えます。対象の傷を直ちに縫合し、一定量の生命力を回復させます。
Cleric_Skill_Effect,가장 낮은 아군 체력회복 + 20%,Recover HP of the lowest ally +20%,最低味方体力回復+20%
Archer_Skill,맹독의 환부,Deadly Poison Wound,猛毒の患部
Archer_Skill_Description,적의 상처에 독이 퍼지게 하여 지속적인 물리 피해를 입힙니다. 독에 중독된 적은 방어력이 감소합니다.,"Spreads poison through the enemy's wounds, inflicting continuous physical damage. Enemies poisoned have their defense reduced.",敵の傷に毒が広がり、持続的な物理ダメージを与えます。毒に中毒された敵は防御力が減少します。
Archer_Skill_Effect,"초당 공격력의 20% 피해, 방어력 20%감소","20% of attack damage per second, defense reduced by 20%",毎秒攻撃力の20%ダメージ、防御力20%減少
Assassin_Skill,심장 꿰뚫기,Heart Piercing,心を突き刺す
Assassin_Skill_Description,적의 빈틈을 포착하여 가장 치명적인 부위를 정확히 찌릅니다. 대상의 방어력은 무시합니다.,Seize the enemy's weak point and accurately strike their most lethal spot. Ignores the target's defense.,敵の隙を捉え、最も致命的な部位を正確に突き刺す。対象の防御力は無視します。
Assassin_Skill_Effect,방어무시 공격력 300%,Defense-ignoring attack power 300%,防御無視攻撃力300%
Hammer_Skill,소용돌이 분쇄,Whirlwind Crush,渦巻き粉砕
Hammer_Skill_Description,망치의 무게를 이용해 몸을 빠르게 회전하며 근처의 적들을 연속 공격합니다.,"Using the weight of the hammer, rapidly rotate to continuously attack nearby enemies.",ハンマーの重さを利用して体を素早く回転させ、近くの敵を連続攻撃します。
Hammer_Skill_Effect,100%의 데미지로 3회 공격,Attacks 3 times with 100% damage,100%のダメージで3回攻撃
Knight_Skill,성휘의 검기,Radiant Sword Wave,聖輝の剣気
Knight_Skill_Description,검을 강하게 휘둘러 응축된 빛의 검강을 전방으로 날립니다. 검기는 직선상의 모든 적을 관통하며 피해를 입힙니다.,"Swing the sword forcefully to unleash a condensed sword energy of light forward. The energy penetrates all enemies in a straight line, dealing damage.",剣を強く振り、凝縮した光の剣気を前方に飛ばします。剣気は直線上のすべての敵を貫通し、ダメージを与えます。
Knight_Skill_Effect,전방의 적 150%로 관통공격,Penetrating attack on enemies in front at 150%,前方の敵に150%で貫通攻撃
Spearman_Skill,전방 광역 휘두르기,Frontal Wide Swing,前方広域の振り回し
Spearman_Skill_Description,창의 길이를 최대한 활용해 전방으로 부채꼴 모양의 거대한 휘두르기 공격을 가합니다. 사거리 내의 모든 적에게 강력한 물리 피해를 입힙니다.,"Utilizing the full length of the spear, unleash a massive fan-shaped swing attack forward. Deals powerful physical damage to all enemies within range.",槍の長さを最大限に活用し、前方に扇形の巨大な振り回し攻撃を加えます。射程内のすべての敵に強力な物理ダメージを与えます。
Spearman_Skill_Effect,부채꼴 내의 전방의 적 150%로 공격,Attacks enemies in front within a fan at 150%,扇形内の前方の敵に150%で攻撃
TwoHandSword_Skill,쌍월의 연참,Twin Moon Slash,双月の連斬
TwoHandSword_Skill_Description,"거검을 오른쪽에서 왼쪽으로 휘둘러 적들의 균형을 무너뜨린 뒤, 반동을 이용해 즉시 반대 방향으로 강하게 되베어냅니다.","Swing the great sword from right to left to disrupt the enemies' balance, then use the recoil to immediately strike back forcefully in the opposite direction.",巨剣を右から左に振り回して敵のバランスを崩した後、反動を利用して直ちに反対方向に強く斬り返す。
TwoHandSword_Skill_Effect,전방의 적 150%로 공격,Attacks enemies in front with 150%,前方の敵に150%で攻撃
Wizard_Skill,혜성 낙하,Comet Fall,彗星落下
Wizard_Skill_Description,하늘이 붉게 물들며 타오르는 거대한 운석이 구름을 뚫고 낙하합니다. 충돌하는 순간 지면이 흔들리며 거대한 화염 폭풍이 휘몰아칩니다.,"As the sky turns red, a burning giant meteorite pierces through the clouds and falls. At the moment of impact, the ground shakes and a massive firestorm rages.",空が赤く染まり、燃える巨大な隕石が雲を突き抜け落ちます。衝突する瞬間、地面が揺れ、巨大な炎の嵐が吹き荒れます。
Wizard_Skill_Effect,해당적 주변의 적의 200%로 스플래시 공격,Splash attack at 200% to surrounding enemies,該当する敵周辺の敵に200%でスプラッシュ攻撃
Enchantress_Skill,버프,Buff,バフ
Enchantress_Skill_Description,아군 중 무작위 대상에게 성령의 기운을 불어넣습니다.,Infuses a random ally with the energy of the Holy Spirit.,味方の中でランダムな対象に聖霊のオーラを吹き込みます。
Enchantress_Skill_Effect,랜덤의 아군에게 120%의 공격력 / 방어력 버프,120% Attack / Defense buff to a random ally,ランダムの味方に120%の攻撃力/防御力バフ
BossMonster_Skill,보스 스킬,Boss Skill,ボススキル
BossMonster_Skill_Description,보스스킬 입니다.,This is a boss skill.,ボススキルです。
UIMonsterDefeat,몬스터 처치,Monster Defeat,モンスター討伐
UIEnter,입장하기,Enter,入場する
UIDungeon_TreasureDungeon,보물 창고,Treasure Dungeon,宝ダンジョン
UIDungeon_TreasureDungeon_Description,몬스터를 모두 처치하면 보석을 획득할 수 있습니다.,You can obtain gems if you defeat all the monsters.,モンスターを全て倒せば宝石を獲得できます。
UIDungeon_GoldDungeon,골드 던전,Gold Dungeon,ゴールドダンジョン
UIDungeon_GoldDungeon_Description,황금 석상을 부수면 많은양의 골드를 획득합니다.,"If you break the golden statue, you will obtain a large amount of gold.",黄金の石像を壊すと、大量のゴールドを獲得します。
UIDungeon_ClearReward,클리어 보상,Clear Reward,クリア報酬
UIDungeon_SelectDifficulty,난이도 선택,Select Difficulty,難易度の選択
UIDungeon_DailyCountResetTime,일일 횟수 초기화까지 남은 시간,Time remaining until daily count reset,毎日の回数リセットまでの残り時間
UIShop_LegendarySummon,전설 확정 소환,Guaranteed Legendary Summon,伝説確定召喚
UIShop_1Summon,1회 소환,1 Summon,1回召喚
UIShop_11Summon,11회 소환,11 Summons,11回召喚
UIShop_Summon,소환,Summon,召喚
UIShop_Summon_Description,소환 횟수가 일정 수에 도달하면 소환 레벨이 증가합니다.,"When the number of summons reaches a certain amount, the summon level increases.",召喚回数が一定数に達すると、召喚レベルが上昇します。
UIShop_SummonLevel,소환 레벨,Summon Level,召喚レベル
UIShop_ProbabilityInformation,확률 정보,Probability Information,確率情報
UIShop_RemoveAD,광고 제거,Remove Ads,広告を削除
UIShop_RemoveAD_Description,모든 광고를 제거하세요!,Remove all ads!,すべての広告を削除してください！
UIRemoveAD,모든 광고를 제거하세요!,Remove all ads!,すべての広告を削除してください！
UIWatchAD,광고 시청으로 버프를 강화하세요!,Watch ads to boost your buffs!,広告を視聴してバフを強化しよう！
